,Minimum Risk Adjusted Values,Max Risk Adjusted Values
Returns,0.11387893422498951,0.30077957906247743
Volatility,0.2709318974133061,0.3603246449900281
Sharpe Ratio,0.4203230971038726,0.8347460637081914
NVDA Weight,0.2272243751622376,0.09293620785289687
META Weight,0.010753262485103447,0.009853455888234289
COKE Weight,0.21038014581039283,0.5400881976756133
MSFT Weight,0.24347568601022457,0.010101607284945361
AAPL Weight,0.0014364863930609465,0.01132374175296844
AMD Weight,0.30448505895164546,0.04856949667716962
GOOG Weight,0.002244985187335197,0.28712729286817207
